  -5.0000000e-02  -0.0000000e+00  -5.0000000e-02  -1.0000000e-01
  -5.0000000e-02  -1.0000000e-01  -5.0000000e-02  -2.0000000e-01
  -5.0000000e-02  -2.0000000e-01  -5.0000000e-02  -3.0000000e-01
  -5.0000000e-02  -3.0000000e-01  -5.0000000e-02  -4.0000000e-01
  -5.0000000e-02  -4.0000000e-01  -5.0000000e-02  -5.0000000e-01
  -5.0000000e-02  -5.0000000e-01  -5.0000000e-02  -6.0000000e-01
  -5.0000000e-02  -6.0000000e-01  -5.0000000e-02  -7.0000000e-01
  -5.0000000e-02  -7.0000000e-01  -5.0000000e-02  -8.0000000e-01
  -5.0000000e-02  -8.0000000e-01  -5.0000000e-02  -9.0000000e-01
  -5.0000000e-02  -9.0000000e-01  -5.0000000e-02  -1.0000000e+00
  -5.0000000e-02  -1.0000000e+00  -3.0000000e-02  -1.0000000e+00
  -3.0000000e-02  -1.0000000e+00  -1.0000000e-02  -1.0000000e+00
  -1.0000000e-02  -1.0000000e+00   1.0000000e-02  -1.0000000e+00
   1.0000000e-02  -1.0000000e+00   3.0000000e-02  -1.0000000e+00
   3.0000000e-02  -1.0000000e+00   5.0000000e-02  -1.0000000e+00
   5.0000000e-02  -1.0000000e+00   5.0000000e-02  -9.0000000e-01
   5.0000000e-02  -9.0000000e-01   5.0000000e-02  -8.0000000e-01
   5.0000000e-02  -8.0000000e-01   5.0000000e-02  -7.0000000e-01
   5.0000000e-02  -7.0000000e-01   5.0000000e-02  -6.0000000e-01
   5.0000000e-02  -6.0000000e-01   5.0000000e-02  -5.0000000e-01
   5.0000000e-02  -5.0000000e-01   5.0000000e-02  -4.0000000e-01
   5.0000000e-02  -4.0000000e-01   5.0000000e-02  -3.0000000e-01
   5.0000000e-02  -3.0000000e-01   5.0000000e-02  -2.0000000e-01
   5.0000000e-02  -2.0000000e-01   5.0000000e-02  -1.0000000e-01
   5.0000000e-02  -1.0000000e-01   5.0000000e-02   0.0000000e+00
